agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va
USGS,10338000,60,7600,2000,1,207.9
USGS,10338000,60,7600,2000,2,143.6
USGS,10338000,60,7600,2000,3,320.1
USGS,10338000,60,7600,2000,4,327.7
USGS,10338000,60,7600,2000,5,434.8
USGS,10338000,60,7600,2000,6,281.5
USGS,10338000,60,7600,2000,7,296.6
USGS,10338000,60,7600,2000,8,322.4
USGS,10338000,60,7600,2000,9,244.1
USGS,10338000,60,7600,2000,10,253.1
USGS,10338000,60,7600,2000,11,225.7
USGS,10338000,60,7600,2000,12,281
USGS,10338000,60,7600,2001,1,317.9
USGS,10338000,60,7600,2001,2,253.6
USGS,10338000,60,7600,2001,3,278.8
USGS,10338000,60,7600,2001,4,243.3
USGS,10338000,60,7600,2001,5,256.3
USGS,10338000,60,7600,2001,6,297.6
USGS,10338000,60,7600,2001,7,366.6
USGS,10338000,60,7600,2001,8,434.5
USGS,10338000,60,7600,2001,9,386.1
USGS,10338000,60,7600,2001,10,247.3
USGS,10338000,60,7600,2001,11,170.2
USGS,10338000,60,7600,2001,12,143.6
USGS,10338000,60,7600,2002,1,101.5
USGS,10338000,60,7600,2002,2,146.8
USGS,10338000,60,7600,2002,3,129.7
USGS,10338000,60,7600,2002,4,308.3
USGS,10338000,60,7600,2002,5,324.8
USGS,10338000,60,7600,2002,6,257.4
USGS,10338000,60,7600,2002,7,377.5
USGS,10338000,60,7600,2002,8,298
USGS,10338000,60,7600,2002,9,133.9
USGS,10338000,60,7600,2002,10,26.6
USGS,10338000,60,7600,2002,11,46.5
USGS,10338000,60,7600,2002,12,69.5
USGS,10338000,60,7600,2003,1,149.9
USGS,10338000,60,7600,2003,2,110.8
USGS,10338000,60,7600,2003,3,163.1
USGS,10338000,60,7600,2003,4,204.7
USGS,10338000,60,7600,2003,5,392.1
USGS,10338000,60,7600,2003,6,289.9
USGS,10338000,60,7600,2003,7,323.6
USGS,10338000,60,7600,2003,8,331.1
USGS,10338000,60,7600,2003,9,173.5
USGS,10338000,60,7600,2003,10,47.3
USGS,10338000,60,7600,2003,11,13.8
USGS,10338000,60,7600,2003,12,34.2
USGS,10338000,60,7600,2004,1,55.1
USGS,10338000,60,7600,2004,2,81.8
USGS,10338000,60,7600,2004,3,195.9
USGS,10338000,60,7600,2004,4,268.5
USGS,10338000,60,7600,2004,5,275.1
USGS,10338000,60,7600,2004,6,232.8
USGS,10338000,60,7600,2004,7,244.3
USGS,10338000,60,7600,2004,8,83.3
USGS,10338000,60,7600,2004,9,12.2
USGS,10338000,60,7600,2004,10,11.6
USGS,10338000,60,7600,2004,11,18.4
USGS,10338000,60,7600,2004,12,21.5
USGS,10338000,60,7600,2005,1,24.9
USGS,10338000,60,7600,2005,2,39.1
USGS,10338000,60,7600,2005,3,110.6
USGS,10338000,60,7600,2005,4,234.4
USGS,10338000,60,7600,2005,5,654.9
USGS,10338000,60,7600,2005,6,357
USGS,10338000,60,7600,2005,7,235.4
USGS,10338000,60,7600,2005,8,262.1
USGS,10338000,60,7600,2005,9,200.8
USGS,10338000,60,7600,2005,10,87.5
USGS,10338000,60,7600,2005,11,160.4
USGS,10338000,60,7600,2005,12,426.3
USGS,10338000,60,7600,2006,1,242.2
USGS,10338000,60,7600,2006,2,211.5
USGS,10338000,60,7600,2006,3,180.8
USGS,10338000,60,7600,2006,4,374.9
USGS,10338000,60,7600,2006,5,654.1
USGS,10338000,60,7600,2006,6,708.9
USGS,10338000,60,7600,2006,7,242.1
USGS,10338000,60,7600,2006,8,300.5
USGS,10338000,60,7600,2006,9,248.8
USGS,10338000,60,7600,2006,10,78.7
USGS,10338000,60,7600,2006,11,97.7
USGS,10338000,60,7600,2006,12,244.8
USGS,10338000,60,7600,2007,1,260.6
USGS,10338000,60,7600,2007,2,208.1
USGS,10338000,60,7600,2007,3,202.5
USGS,10338000,60,7600,2007,4,202.2
USGS,10338000,60,7600,2007,5,226.2
USGS,10338000,60,7600,2007,6,217.5
USGS,10338000,60,7600,2007,7,305.9
USGS,10338000,60,7600,2007,8,291.5
USGS,10338000,60,7600,2007,9,284.6
USGS,10338000,60,7600,2007,10,277
USGS,10338000,60,7600,2007,11,206.4
USGS,10338000,60,7600,2007,12,240.2
USGS,10338000,60,7600,2008,1,187.3
USGS,10338000,60,7600,2008,2,192.3
USGS,10338000,60,7600,2008,3,126.9
USGS,10338000,60,7600,2008,4,214.3
USGS,10338000,60,7600,2008,5,318.1
USGS,10338000,60,7600,2008,6,265
USGS,10338000,60,7600,2008,7,405.5
USGS,10338000,60,7600,2008,8,411.6
USGS,10338000,60,7600,2008,9,216.8
USGS,10338000,60,7600,2008,10,66.2
USGS,10338000,60,7600,2008,11,48
USGS,10338000,60,7600,2008,12,15.4
USGS,10338000,60,7600,2009,1,42.6
USGS,10338000,60,7600,2009,2,68.7
USGS,10338000,60,7600,2009,3,146.9
USGS,10338000,60,7600,2009,4,224.7
USGS,10338000,60,7600,2009,5,465.2
USGS,10338000,60,7600,2009,6,226.7
USGS,10338000,60,7600,2009,7,346.3
USGS,10338000,60,7600,2009,8,208
USGS,10338000,60,7600,2009,9,62
USGS,10338000,60,7600,2009,10,18.9
USGS,10338000,60,7600,2009,11,12.2
USGS,10338000,60,7600,2009,12,18
USGS,10338000,60,7600,2010,1,30.7
USGS,10338000,60,7600,2010,2,35.9
USGS,10338000,60,7600,2010,3,76
USGS,10338000,60,7600,2010,4,183.8
USGS,10338000,60,7600,2010,5,313.6
USGS,10338000,60,7600,2010,6,451.5
USGS,10338000,60,7600,2010,7,264.8
USGS,10338000,60,7600,2010,8,300.8
USGS,10338000,60,7600,2010,9,108.2
USGS,10338000,60,7600,2010,10,124.3
USGS,10338000,60,7600,2010,11,146
USGS,10338000,60,7600,2010,12,170.7
USGS,10338000,60,7600,2011,1,121.3
USGS,10338000,60,7600,2011,2,106.8
USGS,10338000,60,7600,2011,3,145.8
USGS,10338000,60,7600,2011,4,360.8
USGS,10338000,60,7600,2011,5,519
USGS,10338000,60,7600,2011,6,694.7
USGS,10338000,60,7600,2011,7,332.7
USGS,10338000,60,7600,2011,8,252.7
USGS,10338000,60,7600,2011,9,147
USGS,10338000,60,7600,2011,10,70.5
USGS,10338000,60,7600,2011,11,63.4
USGS,10338000,60,7600,2011,12,174.2
USGS,10338000,60,7600,2012,1,290.7
USGS,10338000,60,7600,2012,2,259.1
USGS,10338000,60,7600,2012,3,270.6
USGS,10338000,60,7600,2012,4,304.9
USGS,10338000,60,7600,2012,5,281.2
USGS,10338000,60,7600,2012,6,284.3
USGS,10338000,60,7600,2012,7,399.9
USGS,10338000,60,7600,2012,8,390
USGS,10338000,60,7600,2012,9,193.7
USGS,10338000,60,7600,2012,10,169.2
USGS,10338000,60,7600,2012,11,234.2
USGS,10338000,60,7600,2012,12,181.9
USGS,10338000,60,7600,2013,1,169.5
USGS,10338000,60,7600,2013,2,144.3
USGS,10338000,60,7600,2013,3,163.9
USGS,10338000,60,7600,2013,4,223.5
USGS,10338000,60,7600,2013,5,218.4
USGS,10338000,60,7600,2013,6,291.1
USGS,10338000,60,7600,2013,7,354.7
USGS,10338000,60,7600,2013,8,335.5
USGS,10338000,60,7600,2013,9,208.8
USGS,10338000,60,7600,2013,10,80.4
USGS,10338000,60,7600,2013,11,153.6
USGS,10338000,60,7600,2013,12,111.1
USGS,10338000,60,7600,2014,1,70
USGS,10338000,60,7600,2014,2,144.5
USGS,10338000,60,7600,2014,3,137.7
USGS,10338000,60,7600,2014,4,173.4
USGS,10338000,60,7600,2014,5,241.7
USGS,10338000,60,7600,2014,6,284.5
USGS,10338000,60,7600,2014,7,211.1
USGS,10338000,60,7600,2014,8,120.7
USGS,10338000,60,7600,2014,9,29.3
USGS,10338000,60,7600,2014,10,8.1
USGS,10338000,60,7600,2014,11,9.57
USGS,10338000,60,7600,2014,12,54.9
USGS,10338000,60,7600,2015,1,20.5
USGS,10338000,60,7600,2015,2,109.4
USGS,10338000,60,7600,2015,3,54.7
USGS,10338000,60,7600,2015,4,52.5
USGS,10338000,60,7600,2015,5,54.7
USGS,10338000,60,7600,2015,6,21.5
USGS,10338000,60,7600,2015,7,7.18
USGS,10338000,60,7600,2015,8,3.57
USGS,10338000,60,7600,2015,9,3.27
USGS,10338000,60,7600,2015,10,5.98
USGS,10338000,60,7600,2015,11,9.12
USGS,10338000,60,7600,2015,12,34.9
USGS,10338000,60,7600,2016,1,78.8
USGS,10338000,60,7600,2016,2,106.6
USGS,10338000,60,7600,2016,3,226.5
USGS,10338000,60,7600,2016,4,250.2
USGS,10338000,60,7600,2016,5,301.8
USGS,10338000,60,7600,2016,6,207.9
USGS,10338000,60,7600,2016,7,137.6
USGS,10338000,60,7600,2016,8,47.4
USGS,10338000,60,7600,2016,9,9.06